date,tavg
01-01-2001,28
02-01-2001,27.7
03-01-2001,27.7
04-01-2001,27.7
05-01-2001,27.2
06-01-2001,27.1
07-01-2001,28.3
08-01-2001,28.5
09-01-2001,28.6
10-01-2001,28.7
11-01-2001,27.2
12-01-2001,28.5
13-01-2001,28.2
14-01-2001,28.6
15-01-2001,27.9
16-01-2001,27
17-01-2001,28.4
18-01-2001,28.5
19-01-2001,27.3
20-01-2001,27.8
21-01-2001,27.9
22-01-2001,27.2
23-01-2001,27.4
24-01-2001,26
25-01-2001,25.7
26-01-2001,26.6
27-01-2001,27.9
28-01-2001,27.9
29-01-2001,28.2
30-01-2001,27
31-01-2001,27.3
01-02-2001,26.6
02-02-2001,27.6
03-02-2001,27.2
04-02-2001,27.9
05-02-2001,28.6
06-02-2001,27.7
07-02-2001,28.8
08-02-2001,28.9
09-02-2001,29.4
10-02-2001,28
11-02-2001,27
12-02-2001,28.1
13-02-2001,28.8
14-02-2001,28.5
15-02-2001,29
16-02-2001,29.3
17-02-2001,29.3
18-02-2001,29.4
19-02-2001,27.7
20-02-2001,29.6
21-02-2001,28.9
22-02-2001,27.6
23-02-2001,27.3
24-02-2001,27.8
25-02-2001,27
26-02-2001,28.2
27-02-2001,28.2
28-02-2001,28.7
01-03-2001,29.7
02-03-2001,27.7
03-03-2001,29
04-03-2001,27.6
05-03-2001,28.4
06-03-2001,28.2
07-03-2001,27.3
08-03-2001,27.3
09-03-2001,27.2
10-03-2001,27.4
11-03-2001,28.5
12-03-2001,28.9
13-03-2001,29.6
14-03-2001,27.3
15-03-2001,27
16-03-2001,27.8
17-03-2001,27.9
18-03-2001,28.4
19-03-2001,27.5
20-03-2001,27.6
21-03-2001,27.5
22-03-2001,27.7
23-03-2001,28
24-03-2001,28.3
25-03-2001,27.5
26-03-2001,28.9
27-03-2001,27.1
28-03-2001,26.8
29-03-2001,27.1
30-03-2001,26.1
31-03-2001,27.7
01-04-2001,27.6
02-04-2001,27.5
03-04-2001,27.9
04-04-2001,27.4
05-04-2001,28.1
06-04-2001,27.6
07-04-2001,28.6
08-04-2001,27.8
09-04-2001,27.4
10-04-2001,26.8
11-04-2001,26.8
12-04-2001,26.8
13-04-2001,27.8
14-04-2001,27.5
15-04-2001,27.1
16-04-2001,26.8
17-04-2001,27.5
18-04-2001,27.6
19-04-2001,26.7
20-04-2001,27.6
21-04-2001,28.7
22-04-2001,26.7
23-04-2001,28.3
24-04-2001,27.2
25-04-2001,27.2
26-04-2001,26.6
27-04-2001,27
28-04-2001,27.4
29-04-2001,26.8
30-04-2001,26.9
01-05-2001,27.2
02-05-2001,28.1
03-05-2001,27.9
04-05-2001,27.7
05-05-2001,27.4
06-05-2001,29
07-05-2001,27.3
08-05-2001,28.5
09-05-2001,27.7
10-05-2001,28.2
11-05-2001,28.7
12-05-2001,28.1
13-05-2001,28.5
14-05-2001,27.8
15-05-2001,28.6
16-05-2001,27.5
17-05-2001,28.7
18-05-2001,27
19-05-2001,27.4
20-05-2001,29.2
21-05-2001,28.8
22-05-2001,28.4
23-05-2001,28.7
24-05-2001,27.1
25-05-2001,26.6
26-05-2001,28.1
27-05-2001,28.6
28-05-2001,28.2
29-05-2001,26.2
30-05-2001,26.4
31-05-2001,26.5
01-06-2001,27.3
02-06-2001,28
03-06-2001,27.2
04-06-2001,27.3
05-06-2001,27.2
06-06-2001,25.9
07-06-2001,27
08-06-2001,25.8
09-06-2001,26.4
10-06-2001,26.5
11-06-2001,26.5
12-06-2001,27.7
13-06-2001,27.4
14-06-2001,26.5
15-06-2001,24.7
16-06-2001,26.6
17-06-2001,26.8
18-06-2001,25.5
19-06-2001,26.7
20-06-2001,26.3
21-06-2001,24.5
22-06-2001,26.1
23-06-2001,28.1
24-06-2001,27.4
25-06-2001,27.7
26-06-2001,27
27-06-2001,28.2
28-06-2001,27.9
29-06-2001,26.6
30-06-2001,27.4
01-07-2001,26.2
02-07-2001,25.6
03-07-2001,26.4
04-07-2001,25.1
05-07-2001,24.7
06-07-2001,28.1
07-07-2001,28.1
08-07-2001,28.5
09-07-2001,27.9
10-07-2001,27.1
11-07-2001,27.5
12-07-2001,27.6
13-07-2001,28.8
14-07-2001,28.7
15-07-2001,28
16-07-2001,28.1
17-07-2001,26.9
18-07-2001,27.3
19-07-2001,26.6
20-07-2001,28.3
21-07-2001,28.3
22-07-2001,26.6
23-07-2001,25.3
24-07-2001,27
25-07-2001,27.5
26-07-2001,26.9
27-07-2001,26.2
28-07-2001,27.2
29-07-2001,27.3
30-07-2001,26.8
31-07-2001,27.4
01-08-2001,26.7
02-08-2001,26.6
03-08-2001,26.4
04-08-2001,26.3
05-08-2001,27.4
06-08-2001,27.5
07-08-2001,27.3
08-08-2001,28
09-08-2001,27.3
10-08-2001,27.5
11-08-2001,26.6
12-08-2001,25.1
13-08-2001,25.9
14-08-2001,27.8
15-08-2001,27.5
16-08-2001,27.1
17-08-2001,27.5
18-08-2001,27.4
19-08-2001,27.5
20-08-2001,27.8
21-08-2001,26.6
22-08-2001,26.9
23-08-2001,27.4
24-08-2001,27.5
25-08-2001,27.6
26-08-2001,27.6
27-08-2001,27.9
28-08-2001,27.8
29-08-2001,29.4
30-08-2001,28.6
31-08-2001,28
01-09-2001,26.7
02-09-2001,27.7
03-09-2001,28.2
04-09-2001,27.4
05-09-2001,29
06-09-2001,28
07-09-2001,28.2
08-09-2001,27.7
09-09-2001,26.3
10-09-2001,27
11-09-2001,27.8
12-09-2001,27.8
13-09-2001,27.7
14-09-2001,27.3
15-09-2001,27.8
16-09-2001,28.2
17-09-2001,28.4
18-09-2001,28.9
19-09-2001,28.3
20-09-2001,27.9
21-09-2001,27.3
22-09-2001,26.6
23-09-2001,26.4
24-09-2001,26.8
25-09-2001,28.2
26-09-2001,27.6
27-09-2001,27.9
28-09-2001,27.8
29-09-2001,26.7
30-09-2001,25.4
01-10-2001,26.7
02-10-2001,28
03-10-2001,27.4
04-10-2001,27.8
05-10-2001,28.4
06-10-2001,27.9
07-10-2001,27.8
08-10-2001,27.2
09-10-2001,27.3
10-10-2001,28.2
11-10-2001,29.1
12-10-2001,28.9
13-10-2001,28
14-10-2001,29.6
15-10-2001,28.4
16-10-2001,30.5
17-10-2001,29.5
18-10-2001,27.4
19-10-2001,28
20-10-2001,28.5
21-10-2001,29.5
22-10-2001,29.4
23-10-2001,27.7
24-10-2001,28.9
25-10-2001,28.7
26-10-2001,30.1
27-10-2001,30.2
28-10-2001,30
29-10-2001,28.5
30-10-2001,28
31-10-2001,28.7
01-11-2001,27.2
02-11-2001,25.2
03-11-2001,28.2
04-11-2001,28.3
05-11-2001,28.7
06-11-2001,28.4
07-11-2001,28
08-11-2001,27.9
09-11-2001,27.9
10-11-2001,27.5
11-11-2001,26.8
12-11-2001,27.1
13-11-2001,28.6
14-11-2001,26.6
15-11-2001,27.7
16-11-2001,27.7
17-11-2001,27.4
18-11-2001,28
19-11-2001,28.9
20-11-2001,28.6
21-11-2001,27.6
22-11-2001,26.6
23-11-2001,27.1
24-11-2001,28.8
25-11-2001,28
26-11-2001,27.9
27-11-2001,28.8
28-11-2001,27.5
29-11-2001,27.5
30-11-2001,28.3
01-12-2001,29
02-12-2001,27.8
03-12-2001,28.2
04-12-2001,29.1
05-12-2001,27.7
06-12-2001,28
07-12-2001,27.4
08-12-2001,28.1
09-12-2001,28.5
10-12-2001,28.3
11-12-2001,28.2
12-12-2001,26.9
13-12-2001,28
14-12-2001,27.4
15-12-2001,27.8
16-12-2001,28
17-12-2001,28.5
18-12-2001,26.1
19-12-2001,28.5
20-12-2001,29.2
21-12-2001,28
22-12-2001,28
23-12-2001,28.5
24-12-2001,28.9
25-12-2001,28.7
26-12-2001,27.6
27-12-2001,27.5
28-12-2001,27.3
29-12-2001,27.5
30-12-2001,28
31-12-2001,28.1
01-01-2002,26.7
02-01-2002,27.2
03-01-2002,28.5
04-01-2002,28.8
05-01-2002,29.4
06-01-2002,28.4
07-01-2002,28.3
08-01-2002,27.8
09-01-2002,27.9
10-01-2002,27.4
11-01-2002,27.9
12-01-2002,27.9
13-01-2002,28.5
14-01-2002,26.8
15-01-2002,27.4
16-01-2002,26.5
17-01-2002,26.8
18-01-2002,27.3
19-01-2002,27.9
20-01-2002,27.2
21-01-2002,27.7
22-01-2002,26.5
23-01-2002,27.1
24-01-2002,28
25-01-2002,26.8
26-01-2002,26.7
27-01-2002,26.9
28-01-2002,26.8
29-01-2002,27
30-01-2002,25.8
31-01-2002,27
01-02-2002,27.6
02-02-2002,27.1
03-02-2002,28.5
04-02-2002,27.2
05-02-2002,27.7
06-02-2002,28.4
07-02-2002,28.4
08-02-2002,27.7
09-02-2002,27
10-02-2002,28.5
11-02-2002,27.7
12-02-2002,28.3
13-02-2002,27.2
14-02-2002,26.1
15-02-2002,26.8
16-02-2002,27.1
17-02-2002,27.6
18-02-2002,28.5
19-02-2002,28.1
20-02-2002,28.3
21-02-2002,28
22-02-2002,27.1
23-02-2002,29.7
24-02-2002,28
25-02-2002,28.8
26-02-2002,27.7
27-02-2002,27.9
28-02-2002,27.2
01-03-2002,27.8
02-03-2002,28.6
03-03-2002,26.5
04-03-2002,28.3
05-03-2002,29.1
06-03-2002,28.9
07-03-2002,28.8
08-03-2002,28
09-03-2002,27.1
10-03-2002,27.7
11-03-2002,26.2
12-03-2002,26.4
13-03-2002,28.2
14-03-2002,27.8
15-03-2002,26.6
16-03-2002,27.3
17-03-2002,28.1
18-03-2002,28.3
19-03-2002,28.6
20-03-2002,27.8
21-03-2002,28.4
22-03-2002,27.5
23-03-2002,28.3
